1,2,3,4,assign,6,7,lastupdate,severity,status,title,12,software,14,platform,16,description
"11","350010","mozilla","Olli Pettay [:smaug]","Olli Pettay [:smaug]","2006-08-24 05:22:00","2006-09-06 02:13:00","2006-09-06 02:13:00","feature","fixed","remove nsXULElement::mListenerManager","DOM: Events","Core","","all","","nsxulel mlistenermanag remov ad looong time ago xul dom merg dom event handl nowadai listenermanag creat test creat xul element event listen manag creat attach diff detail review remov mlistenermanag nsinod getlistenermanag comment attach diff detail review remov mlistenermanag nsinod getlistenermanag sr jst convinc win small code win guess overhead store data data hash bigger save member guess hope notic perform xul element don listen manag memori consumpt stai pretti remov code isn test number comment attach diff detail review remov mlistenermanag nsinod getlistenermanag ey perf hit prefer land perf hit leav thing couldn perf hit"
"12","350011","mozilla","andrea","Nobody; OK to take it and work on it","2006-08-24 05:35:00","2010-07-22 16:58:00","2010-07-22 16:58:00","critical","open","Firefox stops responding (all versions) after some seconds when trying to pla...","Plug-ins","Core","","win","","user-ag mozilla/5 window window nt rv b1 gecko/20060710 firefox/2 b1 build identifi mozilla/5 window window nt rv b1 gecko/20060710 firefox/2 b1 firefox stop respond version plai flv video flash plugin show illig oprat window close window stop respond flash button highlight script stop firefox close kill task manag incompat issu gecko reproduc step reproduc open flash site show flv stream video firefox stop respond detail manual kill process exit illieg oper messag isn displai result firefox stop respond expect result continu plai video flash version flash fix issu flash clean profil extens instal clean profil firefox beta crash newest flash ff ff3 beta ftp ftp mozilla org/pub/firefox/nightly/3 b5-candidates/rc2/ ubuntu flv video firefox crash extens noscript turn site plai video youtub foxmark forcast bar enhanc smart bookmark bar ve confirm plai video epiphani web browser sound issu thread http support mozilla com/tiki-view_forum_thread php forumid amp comments_parentid basic plai youtub video firefox final result movi freez coupl advanc video symptom reproduc video complet load won complet plai movi http www youtub com/watch nv2u9r4bso movi youtub exhibit behaviour issu present attempt plai movi safari opera case ms window xp profession servic pack flash version r124 reread rest ticket issu slightli origin ticket complain firefox freez relat javascript flash entri specif flash report fwiw issu reproduc firefox similar issu run flash content mozilla www ecb int recur instal mozilla firefox beta download latest version prompt mozilla firefox onscreen instruct miss http www askvg com/mozilla-firefox-3-6-4-released-download-now make sens plugin issu confirm plugin doesn hang crash oopp process plugin ad close bug resolv gt worksform"
"13","350012","mozilla","Uri Bernstein (Google)","Uri Bernstein (Google)","2006-08-24 05:48:00","2008-07-31 02:46:00","2008-07-31 02:46:00","feature","fixed","Logical editing operations misbehave when the caret is positioned away from t...","Layout: Text","Core","","all","344226 305798","bug made visual posit caret base cart movement posit logic entri point introduc case movecaret logic visual movement case movement base logic posit caret visual displai upcom testcas demonstr case shift arrow select logic oper bidi edit caret_movement_styl set default ctrl del forward word delet logic oper fix bug creat attach detail testcas testcas demonstr occurr problem instruct includ creat attach diff detail review patch restrict fix bug case visual movement restor previou logic case logic movement check check layout/generic/nsselect cpp cvsroot/mozilla/layout/generic/nsselect cpp lt nsselect cpp revis previou revis"
"14","350013","mozilla","A. Shimono [:himorin]","Nobody; OK to take it and work on it","2006-08-24 06:01:00","2008-08-28 20:17:00","2008-08-28 20:17:00","feature","fixed","cannot get old change histories from Special:Recentchanges","Deki Infrastruct","Mozilla Develope","","all","","user-ag mozilla/5 window window nt en-u rv gecko/20060508 firefox/1 build identifi mozilla/5 window window nt en-u rv gecko/20060508 firefox/1 histori special recentchang august dai queri limit oldest aug ve situat ja reproduc step reproduc output set special recentchang result histori time expect result histori url http develop mozilla org/en/docs/index php titl special recentchang amp dai amp limit earliest displai entri common pitfal bzbarski talk block amp incorrect secur check http develop mozilla org/en/docs/index php titl special recentchang amp dai amp limit earliest displai entri common pitfal bzbarski talk block amp incorrect secur check retriev record earlier earlier histori individu page histori link limit queri return limit set repli comment gt earlier histori individu page histori gt link wfm due relunch deki"
"15","350014","mozilla","Damian Szczepanik","Nobody; OK to take it and work on it","2006-08-24 06:10:00","2006-10-31 15:54:00","2006-10-31 15:54:00","feature","fixed","visit URL: success only with http, ftp, mailto but not with external applicat...","Internal Compone","Calendar","","win","","user-ag mozilla/5 window window nt en-u rv gecko/20060728 firefox/1 build identifi mozilla/5 window window nt en-u rv a1 gecko/20060823 calendar/0 a2 launch extern program click visit url accept select applic reproduc step reproduc creat event url field type notepad file txt press visit ulr gt dialog confirm applic show accept notepad properli app press launch applic gt effect expect result notepad launch alert file txt unknown window notepad avaiabl command line notepad applic launch properli error consol empti url form notepad file txt expect work doesn work firefox doesn work window work sunbird repli comment gt url form notepad file txt expect gt work doesn work firefox doesn work window gt work sunbird goal extern protokol request dialog understand launch extern applic support protocol applic launch properli send issu sunbird point view matter notepad skype notapad regist protocol applic complet hmm check egzot regist protocol work inform oper fail url link run extern applic secur stick standard url type mark invalid"
"16","350015","mozilla","Deb Richardson [:dria]","Nobody; OK to take it and work on it","2006-08-24 06:18:00","2007-03-13 13:37:00","2007-03-13 13:37:00","normal","fixed","Please verify that MDC wiki databases are working properly","Deki Infrastruct","Mozilla Develope","","all","","coupl recent issu make worri integr mdc wiki databas post failed-upgrad time verifi work expect fine bug shaver bug assign make prioriti item ahead close month thing settl fallout paranoia upgrad fiasco resolv"
"17","350016","mozilla","Damian Szczepanik","Nobody; OK to take it and work on it","2006-08-24 06:27:00","2007-03-11 13:45:00","2007-03-11 13:45:00","minor","fixed","Edit selection does not work for tasks","Calendar Views","Calendar","","win","","user-ag mozilla/5 window window nt en-u rv gecko/20060728 firefox/1 build identifi mozilla/5 window window nt en-u rv a1 gecko/20060823 calendar/0 a2 select task click menu file gt edit select edit task edit event dialog select event maybi work properli make sens edit select edit event reproduc step reproduc creat event select event press gain focu creat task select task menu file choos edit select result edit event dialog show expect result event task dialog show event task exist edit select disabl task account imo menu useless unifind main view task pane comfort easier directli menu file event select work mozilla/5 window window nt en-u rv a1 gecko/20061027 calendar/0 a1 omar interest step work reproduc problem sunbird nightli build mozilla/5 window window nt en-u rv a1 gecko/20061031 calendar/0 a1 step creat event month week view select event creat creat task select task creat choos edit- gt edit select ctrl actual-- edit dialog pop event pre-load edit expected-- edit dialog pop task preload edit task recent select made confirm bug select task select task calendar view press ctrl task edit window open select task task list event focus event edit window open work reproduc depend task view obviou edit select account task list problem damian complain edit select"
"18","350017","mozilla","exir.kamal","Nobody; OK to take it and work on it","2006-08-24 06:33:00","2008-07-31 01:49:00","2008-07-31 01:49:00","feature","fixed","Adding Restart Button When Using Themes","Add-ons Manager","Toolkit","","win","336050","user-ag mozilla/5 window window nt en-u rv b1 gecko/20060710 firefox/2 b1 build identifi mozilla/5 window window nt en-u rv b1 gecko/20060710 firefox/2 b1 firefox beta restart firefox button instal theme extens theme restart firefox button displai restart firefox neat button reproduc bug mark duplic"
"19","350018","mozilla","H\E5kan Waara","H\E5kan Waara","2006-08-24 06:38:00","2007-03-27 16:32:00","2007-03-27 16:32:00","feature","fixed","nsIFrame code returns coordinates with (0, 0) in bottom-left on mac","Widget: Cocoa","Core","","mac","369998 325336 375422 374305 353964 370106 352329","cocoa toolkit mac origo point base bottom-left kind draw posit interact mozilla code convers top-left bottom-most coordin system surpris sat debug core gecko api insid cross-platform code return cocoa rect mac bug featur cross-platform code behav platform sens nsifram getscreenrect nsifram getscreenrectextern don expect behavior comment warrant xp-code nsaccess depend btw return cocoa rect mac api queri nsiwidget queri cocoa widget thing gt bug featur bug imo gt api queri nsiwidget return gecko-coordin rect doesn buggi basic issu http bonsai mozilla org/cvsblam cgi file mozilla/widget/src/cocoa/nschildview mm amp rev flip rect time convertgeckotoflippedcocoarect flip cocoa rect convertflippedcocoatogeckorect regress introduc bug middl chunk code remov childview bit schizophren pass cocoa coordin return bool isflip topmost coordin problem parti tool adjust coordin view flip creat attach diff detail review initi propos patch bulk propos fix appli hand-edit creat helper flipcocoascreencoordin convert bottomleft screen point topleft screen point bunch renam helper clarifi convers cast specif convertgeckotoflippedcocoarect gt geckorecttonsrect convertflippedcocoatogeckorect gt nsrecttogeckorect widgettoscreen remov convers step return coord topleft flip cocoa coordin work initi window bit smaller context menu show wrong sum bit code remov convers topleft rect bottomleft rect nschildview screentowidget josh/mento code depend call return cocoa rect creat attach diff detail review cleanup patch check simplifi simpl cleanup patch point comment renam creat helper share code method return coordin real made comment attach diff detail review cleanup patch check previou comment review aid comment attach diff detail review cleanup patch check nsscreen screen count gt paranoia put brace line test comment attach diff detail review cleanup patch check check review comment address comment attach diff detail review initi propos patch patch thing regress context menu posit assum return cocoa coordin final figur bug basic fool nsview convertrect toview nil convert rect window-coord rect account flip top-left coord view ll explain simpl code convert rect origin width height window coordin nsrect convertedrect ourview convertrect nsmakerect width height toview nil origin origin rect assum bottom-left coordin whilst meant top-left coordin turn rect window-point screen-point bottom-left coord rect bottom-left screen coord convert rect origin top-left coord fine dandi doesn work rect height top-left origin base fact localrect gt windowrect convers begin thought bottom-left coordin order rect top-left corner subtract rect height step ve omit widgettoscreen convert rect width height haven notic nsframe getscreenrect convert real rectangl size long explan easi explain whiteboard creat attach diff detail review propos patch patch explan context-menu nsframe getscreenrect work expect creat attach diff detail review propos patch var minut compil comment attach diff detail review propos patch sr pink creat attach diff detail review patch accessible/ code fix bug fix revert hack code surkov cocoa bottom-left origo y-valu increas order return correct posit subtract rectangl height comment attach diff detail review patch accessible/ code fix gt check role skew role constant nsiaccess idl match gt nsrolemap gt ns_assert axrol nsiaccess role_last_entri isequaltostr role_last_entri role skew role map gt nit os role skew msaa/atk code gt convert cocoa coordin system gecko gt convert cocoa coordin system gecko doc gt point guarante bottom-left screen coordin nit point gt coord gecko top-left screen coordin gt cocoa return bottom-left screen coordin gt involv step nit invlov code good fix patch check trunk inform coordin manag relat issu bug creat attach diff detail review branch patch ran bug xulrunn cocoa widget order emb xr java/swt patch branch function cleanup mess camino land trunk dig review doesn screw comment attach diff detail review branch patch found bug comment attach diff detail review branch patch approv affect cocoa widget aren built default branch camino relat care bug bug mark duplic bug turn problem render picasa web album fairli high-profil compat problem result camino branch bug mark duplic bug comment attach diff detail review branch patch camino patch branch fix major compat issu user branch camino support bug mark duplic bug comment attach diff detail review branch patch approv dveditz release-driv check mozilla_1_8_branch mozilla_1_8_0_branch clear blocking1 flag land trunk long ago cvsroot/mozilla/widget/src/cocoa/nschildview mm lt nschildview mm revis previou revis cvsroot/mozilla/widget/src/cocoa/nschildview mm lt nschildview mm revis previou revis"
"20","350019","mozilla","Per \C5ngstr\F6m","Nobody; OK to take it and work on it","2006-08-24 07:25:00","2011-09-07 01:00:00","2011-09-07 01:00:00","feature","fixed","&quot;All tabs&quot; menu button not accessible from keyboard","Tabbed Browser","Firefox","","all","597308 343251 353569","access tab menu button keyboard button access mous point devic bad access point view opinion issu easili solv menu top menu bar doabl keyboard shortcut accept solut access open tab focus tab press left arrow ctrl-pgup/ctrl-pgdn shortcut tab menu doesn add function navig suggest wontfix http bugzilla mozilla org/show_bug cgi id c141 mark pilgrim issu aaron mark pilgrimi main gui access chrome mark comment mark wontfix close good suggest keyboard user list tab type letter tab directli tab list pretti larg kind keyboard navig import usabl access functioal tab item context menu tab tab-rel function ve spun aaronl suggest bug testw sep haec bug mark duplic bug"
"21","350020","mozilla","Nickolay_Ponomarev","Justin Scott [:fligtar]","2006-08-24 07:43:00","2007-02-21 17:36:00","2007-02-21 17:36:00","feature","fixed","Item previews/screenshots page gets cached for a rather long period of time","Developer Pages","addons.mozilla.o","","all","","upload preview imag extens screw amo doesn understand png transpar delet upload fix version didn randomli click web interfac upload imag time delet time half hour public page show version imag url http addon mozilla org/images/previews/infolister-1 jpg url infolister-2 jpg public page start show correct imag text step reproduc type memori detail wrong reproduc didn creat attach detail screenshot incorrect_ preview imag screenshot editpref preview page show previou previous delet preview editpref attach editprefs-0 jpg preview should_ displai creat attach detail correct_ editpref preview imag correct_ preview imag add editpref page addon page repeat attempt delet upload imag origin incorrect imag show screenshot incorrect_ preview imag attach bug bug attempt numer time delet updat imag editpref addon origin imag screenshot incorrect_ preview imag attach hang delet upload correct_ imag correct_ editpref preview imag attach set imag css cach unnecessarili long timeout directori schedul sync preview repli comment gt set imag css cach gt unnecessarili long timeout directori schedul gt sync preview default cach header sampl url infolister-1 jpg return check http addon mozilla org/images/previews/infolister-2 jpg ran updat left expir request time close total time gt sh cach object url images/previews/infolister-1 jpg host addon mozilla org port integr cach object statist respons size byte respons header size byte respons statu code etag kxnmgicecjuwmnnuzi last-modifi cache-control date wed sep gmt contentgroup default complex match url images/previews/infolister-1 jpg host addon mozilla org host port destin ip destin port request time sec ago respons time start arriv sec ago ag sec expiri sec left expiri prefetch sec left prefetch reader miss hit miss content gzip compress content deflat compress http version respons weak etag present respons neg marker cell auto poll time netscal etag insert respons full respons present cach destin ip verifi dn store cach forward proxi delta basefil wait minhit minhit count http request method gt fyi expir period object show expiri expir prefetch period pass ll request url check object ll remov cach remora store preview databas system preview"
"22","350021","mozilla","Pascal Chevrel:pascalc","Catherine C. Brady","2006-08-24 08:03:00","2010-01-21 11:13:00","2010-01-21 11:13:00","feature","fixed","Website plagiarised Thunderbird and Firefox logos to propose their own services","Trademark Violat","Marketing","","win","","http www webtuga com/ portugues site plagiaris logo redesign gener comput commun site don compani check site didn relat firefox thunderbird mozilla close bug problem site aris submit site report form http www mozilla com/en-us/legal/fraud-report/"
